logFC	adj.P.Val	Gene Symbol	Probeset Type
0.15246457302955413	0.511321252691568	NSUN5	even
-0.11142217934413885	0.511321252691568	RALGAPB	even
0.110406675608344	0.511321252691568	ST8SIA4	odd
-0.363183479558719	0.511321252691568	CHUK	odd
0.303452003053522	0.511321252691568	TM7SF2	odd
-0.187681874683375	0.511321252691568	LOC100506076 /// LOC100506123	odd
0.201525910077642	0.511321252691568	RP11-403P17.4	odd
0.153519818188345	0.511321252691568	FAM83E	odd
0.034593183009694994	0.511321252691568	SPOP	even
0.160534094141147	0.511321252691568	DNPEP	odd
0.020291886343717355	0.511321252691568	RANBP10	even
-0.250140226460188	0.511321252691568	AUTS2	odd
0.100654834283755	0.511321252691568	GUCY2F	odd
0.0616971416825711	0.511321252691568	SOX5P /// SOX5P	odd
-0.226762952307138	0.511321252691568	COX20	odd
0.109697852806562	0.511321252691568	KRT33A	odd
-0.207690012927438	0.511321252691568	POP7	odd
0.199927214562001	0.511321252691568	ETV4	odd
-0.35741739065385	0.512301051771238	ABHD14A /// ACY1	odd
-0.620990788986097	0.512390795794344	DIO1	odd
-0.06791818115315898	0.512618576040613	SOX15	even
0.11018237111828477	0.512815037723799	MAP3K13	even
0.114716585911218	0.512974011160942	GRK1	odd
-0.1730116205582865	0.518495424194212	CYB5A	even
0.100418162359998	0.512985353871092	RP11-414H17.5	odd
0.238779519750942	0.513057754393318	FAM134C	odd
0.149933345612535	0.513314984144851	SKAP1	odd
0.1231872409159982	0.513420628228278	KIAA0586	even
0.187771386339736	0.513534831280075	HPSE	odd
0.148218455403095	0.513926786678102	MIR4315-1 /// MIR4315-2 /// MIR6080 /// PLEKHM1 /// PLEKHM1P	odd
0.125270898664459	0.813245303530132	EIF3B	odd
0.13215537415287	0.514376196695272	PPP1R17	odd
-0.163245889448561	0.514376196695272	ASTE1	odd
0.193726221031185	0.514551017135524	HIST1H4I	odd
0.561773267907414	0.514551017135524	HLA-DQB1 /// HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// LOC100996809 /// LOC101060835	odd
0.391312264290537	0.514629202360289	BBOX1	odd
0.0765323420400859	0.514798892874358	SERPINB4	odd
-0.205208489921482	0.515004727613808	CDA	odd
-0.0043119381111846	0.99532959262896	BRD2	odd
0.304244232065242	0.515391915709947	POLR2I	odd
0.07610934349279586	0.515391915709947	HRH4	even
-0.150311382575031	0.515557106977294	MSH5 /// MSH5-SAPCD1 /// SAPCD1	odd
-0.005385718076111989	0.515565729093892	CINP	even
0.204817581263301	0.515582565765986	GPN2	odd
-0.0909747337310047	0.515674529983691	UNC93A	even
-0.05905934756347265	0.51579693776581	MON2	even
0.0326896152844549	0.879264826011523	MCL1	odd
-0.126212196218412	0.515991172225522	SNIP1	odd
0.321063037078338	0.516069017590399	PMM1	odd
0.23279600556736	0.516090297213293	AURKAIP1	odd
0.134431586565337	0.516090297213293	LOC101927673 /// OTUB1	odd
0.0022308423720818	0.991809611819163	FUT9	odd
0.116119586710555	0.51662354300711	HIST1H2AM	odd
-0.183444670784231	0.516645799758876	HIST1H2AC	odd
0.157773470377045	0.516645799758876	ZMPSTE24	odd
0.295896371230043	0.516721614644784	ARHGDIB	odd
-0.109355412539771	0.516861718176033	PPBPP2	odd
0.16478208983826	0.516861718176033	RGL1	odd
0.229124452457341	0.517162152010273	POM121C	odd
-0.155752044369427	0.517162152010273	CHST8	odd
-0.303333900010148	0.517230968382351	MRPL19	odd
0.10772999472665	0.517577378233468	DPEP3	odd
-0.186653885754362	0.517577378233468	TET3	odd
-0.160599235651706	0.517577378233468	SNRPF	odd
0.0933320389319592	0.517577378233468	GALNT8	odd
0.214480953738811	0.517611768808839	C3orf52	odd
-0.139197164923841	0.517767278350071	GLRX5	odd
0.09115073797221446	0.517873449636662	MUC3B	even
0.12656867561483	0.517904073437986	KCTD20	odd
-0.045413663763062	0.517904073437986	AP4E1	even
0.328698969582333	0.517904073437986	GALNT12	odd
0.0858574718973305	0.517985874341889	CDKN2D	even
-0.0491494252506465	0.518393789604572	MARCH7	even
0.0930401212720797	0.518393789604572	NABP1	odd
0.209383988273821	0.518661462697878	DNMT1	odd
-0.257296364971019	0.518661462697878	ASB8	odd
-0.488207483491233	0.518661462697878	SLC27A2	even
-0.227861671113581	0.518661462697878	DHX29	odd
0.305525972742938	0.665173397962141	GAPDH	even
-0.282269169528722	0.51876572857996	THBD	even
0.109545601703778	0.518988418748292	IFNA17	odd
-0.225850229532301	0.519143407772543	NSUN6	odd
0.278482425432214	0.519245689250047	SH3BGRL3	odd
-0.207559512044261	0.519245689250047	KIAA1598	odd
0.11137397752260696	0.519245689250047	CDSN	even
-0.0992697873685469	0.519297087810225	SOX30	odd
0.092648723312875	0.519428366185524	FSTL4	odd
0.1551248084649686	0.519430313583515	CSTF1	even
0.105625565898991	0.519430313583515	GCK	odd
0.249902471230427	0.519842763497576	PET112	odd
0.190885903224391	0.519842763497576	COASY	odd
-0.12539231639926	0.519871614419972	MYH3	odd
0.08526725223328671	0.520050720673497	ORM1 /// ORM2	even
0.06675696085475025	0.52015292836671	DFNB31	even
0.199232457736503	0.520311207362564	KCNE4	odd
0.116900342744973	0.52042927880073	IDI2-AS1	odd
0.08094418403075421	0.52042927880073	DLG4	even
0.0955651763962457	0.52042927880073	CCR8	odd
-0.135107851117516	0.520596038911794	COPG2IT1	odd
0.160697365563922	0.52061383498833	ATP4A	odd
-0.01920976510239005	0.71819723356371	NEK1	even
0.041916248083060804	0.520832711450404	EPB41	even
0.255476686853804	0.521030891040575	MRPL35	odd
-0.0961018096082285	0.521108305241312	TRAV8-3	odd
0.239939146308679	0.604770427953847	NACA	odd
-0.1216460735097057	0.521347496929785	CEBPD	even
0.08922426897107955	0.521483997915395	LGR5	even
-0.0027676008546295	0.992754022793207	KDM6B	odd
-0.178898185969543	0.521487093514837	CRTAC1	odd
0.107720960682024	0.521498669585123	TRIM66	odd
0.12796180137923	0.521498669585123	TMEM57	odd
0.245301392900295	0.521498669585123	ANXA6	odd
0.137888939894541	0.521498669585123	MVD	odd
0.0696900735750674	0.521498669585123	BACH1 /// GRIK1-AS2	odd
-0.07822367159001625	0.521576732317155	RNF40	even
-0.127252987294646	0.521576732317155	COX6CP1 /// COX6CP1	odd
0.0176404987167658	0.930579377348569	FCAR	odd
0.105357956938196	0.521813573870573	HIST1H3G	odd
0.149726311169635	0.521930891438775	TREML2	odd
-0.18056027611503	0.521930891438775	FBXO31	odd
0.0942143303691516	0.521930891438775	SLC6A14	odd
-0.319379069628202	0.522260675646052	AUH	odd
0.129745653022941	0.522260675646052	RNF185-AS1	odd
0.134787925875959	0.522260675646052	IFNA21	odd
-0.149617750395415	0.522260675646052	ADCY8	odd
-0.194116595588449	0.522553375463656	MGMT	odd
-0.0860406871271278	0.522801819485772	ARHGEF26	odd
